full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,173539,173539,26883,79,79,7,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,58136,58136,9534,35,35,7,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9085,9085,14584,1,1,3,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1290,1290,2274,0,0,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,42556,42556,3606,22,22,4,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,51038,51038,5079,34,34,6,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,33444,33444,2704,5,5,0,https://github.com/musistudio/claude-code-router
Alishahryar1/free-claude-code,21368,21368,3081,41,41,10,https://github.com/Alishahryar1/free-claude-code
davila7/claude-code-templates,26725,26725,2690,6,6,1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,808,808,1160,2,2,1,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,3094,3094,3777,2,2,1,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,17254,17254,2519,11,11,6,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,19103,19103,2213,6,6,2,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2218,2218,3500,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7421,7421,1789,1,1,-1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,9914,9914,1769,4,4,2,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2200,2200,1522,2,2,0,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9613,9613,1220,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9007,9007,679,1,1,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8099,8099,605,2,2,0,https://github.com/ykdojo/claude-code-tips
hangsman/claude-code-source,766,766,1745,0,0,-1,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2374,2374,2273,1,1,0,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,1040,1040,2131,0,0,4,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5870,5870,547,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,3087,3087,690,2,2,0,https://github.com/lintsinghua/claude-code-book
huangserva/claude-code-cli,571,571,1297,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3792,3792,556,0,0,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3540,3540,459,1,1,-1,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1527,1527,612,-1,-1,0,https://github.com/lorryjovens-hub/claude-code-rust
zebbern/claude-code-guide,4079,4079,400,0,0,0,https://github.com/zebbern/claude-code-guide
nicedreamzapp/claude-code-local,2457,2457,480,2,2,2,https://github.com/nicedreamzapp/claude-code-local
anthropics/skills,128276,128276,15092,83,83,13,https://github.com/anthropics/skills
777genius/claude-code-source-code,907,907,1115,1,1,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3627,3627,609,1,1,0,https://github.com/disler/claude-code-hooks-mastery
FlorianBruniaux/claude-code-ultimate-guide,4167,4167,550,5,5,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Maciek-roboblog/Claude-Code-Usage-Monitor,7908,7908,398,4,4,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,8044,8044,755,11,11,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
kodu-ai/claude-coder,5278,5278,200,1,1,0,https://github.com/kodu-ai/claude-coder
forrestchang/andrej-karpathy-skills,112496,112496,11244,290,290,37,https://github.com/forrestchang/andrej-karpathy-skills
Yuyz0112/claude-code-reverse,2359,2359,404,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
anthropics/claude-code-security-review,4493,4493,421,1,1,0,https://github.com/anthropics/claude-code-security-review
fuergaosi233/claude-code-proxy,2555,2555,362,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2530,2530,357,1,1,0,https://github.com/RichardAtCT/claude-code-telegram
alejandrobalderas/claude-code-from-source,1881,1881,570,2,2,0,https://github.com/alejandrobalderas/claude-code-from-source
Windy3f3f3f3f/how-claude-code-works,2086,2086,528,2,2,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
ding113/claude-code-hub,2742,2742,314,0,0,0,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,212,212,210,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2640,2640,289,0,0,0,https://github.com/Cranot/claude-code-guide
sickn33/antigravity-awesome-skills,36370,36370,5958,23,23,3,https://github.com/sickn33/antigravity-awesome-skills
AprilNEA/claude-code-source,377,377,615,0,0,0,https://github.com/AprilNEA/claude-code-source
rohitg00/awesome-claude-code-toolkit,1545,1545,469,1,1,0,https://github.com/rohitg00/awesome-claude-code-toolkit
anthropics/claude-code-base-action,805,805,601,0,0,-1,https://github.com/anthropics/claude-code-base-action
luyao618/Claude-Code-Source-Study,1293,1293,494,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
repowise-dev/claude-code-prompts,991,991,363,0,0,0,https://github.com/repowise-dev/claude-code-prompts
luongnv89/claude-howto,31167,31167,3827,29,29,3,https://github.com/luongnv89/claude-howto
https-deeplearning-ai/sc-claude-code-files,504,504,705,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
guanshan/ClaudeCode,57,57,215,0,0,0,https://github.com/guanshan/ClaudeCode
bfly123/claude_codex_bridge,2476,2476,237,1,1,0,https://github.com/bfly123/claude_codex_bridge
JrCx7scC/claude-code-source,365,365,538,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1417,1417,283,0,0,0,https://github.com/edmund-io/edmunds-claude-code
qwibitai/nanoclaw,28587,28587,12766,9,9,3,https://github.com/qwibitai/nanoclaw
Pimzino/claude-code-spec-workflow,3708,3708,261,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,32545,32545,3017,17,17,2,https://github.com/Yeachan-Heo/oh-my-claudecode
snarktank/ralph,18478,18478,1831,8,8,1,https://github.com/snarktank/ralph
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3647,3647,699,2,2,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
alirezarezvani/claude-skills,13767,13767,1848,16,16,5,https://github.com/alirezarezvani/claude-skills
AICoderTudou/claude-code-tudou,497,497,401,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
carlvellotti/claude-code-pm-course,1954,1954,309,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
router-for-me/CLIProxyAPI,30658,30658,5112,43,43,5,https://github.com/router-for-me/CLIProxyAPI
wshobson/agents,34785,34785,3786,11,11,0,https://github.com/wshobson/agents
ghuntley/claude-code-source-code-deobfuscation,974,974,554,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
andrew-kramer-inno/claude-code-source-build,584,584,518,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
anthropics/claude-plugins-official,18567,18567,2260,8,8,2,https://github.com/anthropics/claude-plugins-official
feiskyer/claude-code-settings,1485,1485,218,1,1,0,https://github.com/feiskyer/claude-code-settings
Windy3f3f3f3f/claude-code-from-scratch,1081,1081,348,3,3,1,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
sugyan/claude-code-webui,1072,1072,240,0,0,0,https://github.com/sugyan/claude-code-webui
Hyper66666/claude-code-sourcemap,213,213,460,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,681,681,61,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
eyaltoledano/claude-task-master,26991,26991,2519,2,2,0,https://github.com/eyaltoledano/claude-task-master
centminmod/my-claude-code-setup,2256,2256,217,1,1,0,https://github.com/centminmod/my-claude-code-setup
siteboon/claudecodeui,10545,10545,1416,7,7,1,https://github.com/siteboon/claudecodeui
lst97/claude-code-sub-agents,1558,1558,250,0,0,0,https://github.com/lst97/claude-code-sub-agents
